,scenario_name,scenario_variant,variable,use_technology_fuel,model,time_resolution,timestamp,value
3104,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 16:00,6.957073119576186e-07
3105,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 17:00,1.966002115298017e-07
3106,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 18:00,1.7683254560778137e-07
3107,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 19:00,2.118794683864643e-07
3108,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 20:00,2.422126856899666e-07
3109,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 21:00,1.8434008189820922e-07
3110,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 22:00,1.852017337306273e-07
3111,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.07.2050 23:00,7.817681245715931e-05
3112,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 00:00,3.50948608717314
3113,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 01:00,3.5094867170449016
3114,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 02:00,3.509486707369051
3115,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 03:00,0.094845301
3116,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 04:00,0.096011213
3117,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 05:00,0.098344875
3118,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 06:00,0.1044502140529197
3119,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 07:00,3.5094950725857963
3120,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 08:00,3.509498157061984
3121,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 09:00,3.5094981438685875
3122,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 10:00,3.5094981514523376
3123,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 11:00,3.509498152186364
3124,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 12:00,3.509498150273185
3125,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 13:00,3.5094981550792097
3126,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 14:00,3.5094982031897684
3127,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 15:00,1.4708659039297518
3128,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 16:00,4.054258732547851e-06
3129,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 17:00,4.037174455228007e-06
3130,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 18:00,4.04153104602078e-06
3131,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 19:00,3.746954226861849e-06
3132,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 20:00,3.7315350719370336e-06
3133,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 21:00,0.2621584397013018
3134,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 22:00,3.5094929343748964
3135,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.02.2050 23:00,3.509493110228318
3136,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 00:00,1.453242178955422e-06
3137,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 01:00,1.391453970612235e-06
3138,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 02:00,1.4957308210836263e-06
3139,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 03:00,1.4991832223633914e-06
3140,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 04:00,1.4459230861927397e-06
3141,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 05:00,0.7410693645576794
3142,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 06:00,0.1293691115777211
3143,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 07:00,2.535159243829287
3144,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 08:00,3.509497577646406
3145,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 09:00,3.5094994836995665
3146,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 10:00,3.509499490076572
3147,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 11:00,3.509499487881377
3148,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 12:00,3.509499492138596
3149,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 13:00,3.509499500244082
3150,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 14:00,3.5094995053762448
3151,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 15:00,3.5094974355722672
3152,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 16:00,2.5282310619857724
3153,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 17:00,6.048708668820705e-07
3154,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 18:00,6.018430169987483e-07
3155,abroad-nores-full,reference,electricity_consumption_typical_day,phs_in,secmod,typical-day,01.07.2050 19:00,6.05979355054869e-07
