scenario_name,model,variable,use_technology_fuel,time_resolution,timestamp,value
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2035,17.222625505178847
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2035,1.9023596383611336
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2040,14.094771558774893
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2040,5.557668352234716e-09
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2045,6.085365320674679
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2045,4.848387000901728e-09
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2050,1.621630807498944
abroad-res-full,zengarden,passenger_road_private_fec,oil,annual,2050,2.3269008853939555e-08
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2025,0.6671017838953107
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2025,0.003674039977014
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2030,2.95115574603748
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2030,0.0036740440869078
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2035,4.909766637907515
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2035,0.0029611894671096
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2040,6.001041343305883
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2040,1.108974116761233
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2045,8.333283110536078
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2045,1.1108220840834002
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2050,9.796999389074212
abroad-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2050,1.110821764241082
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2025,35.877730329216
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2025,3.150058604849737
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2030,27.828923509170043
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2030,3.1500527856935507
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2035,19.824357903498893
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2035,1.902354045938576
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2040,16.696503906314945
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2040,2.1174939259535666e-08
abroad-res-lim,zengarden,passenger_road_private_fec,oil,annual,2045,12.741865555409928
