scenario,year,index,Annual,wd-00,wd-01,wd-02,wd-03,wd-04,wd-05,wd-06,wd-07,wd-08,wd-09,wd-10,wd-11,wd-12,wd-13,wd-14,wd-15,wd-16,wd-17,wd-18,wd-19,wd-20,wd-21,wd-22,wd-23,sd-00,sd-01,sd-02,sd-03,sd-04,sd-05,sd-06,sd-07,sd-08,sd-09,sd-10,sd-11,sd-12,sd-13,sd-14,sd-15,sd-16,sd-17,sd-18,sd-19,sd-20,sd-21,sd-22,sd-23
abroad-together,2050,Biofuel-processes|New processes,0.008557036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Electricity-supply|Wood,6.99619747,1.454030242,1.454030044,1.454030325,1.454030649,1.45403294,1.45403352,1.454033668,1.454034075,1.454029984,1.454029964,1.454029974,1.454029981,1.454029985,1.454029983,1.454029954,1.454035007,1.454058018,1.454066183,1.454066984,1.454067267,1.454034855,1.454032077,1.454030063,1.454030074,0.303635261,0.367240508,0.471005022,0.631965913,0.814496079,0.858888913,0.001735992,0.00163024,0.001630499,0.001632602,0.001634164,0.001633641,0.001632782,0.001633498,0.00163395,0.001634852,0.002661439,0.392318112,0.315226742,0.285057567,0.267873959,0.251452499,0.243639304,0.254012614
abroad-together,2050,Hydrogen-consumption|CHP,0.037479931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-consumption|Exports,0.059057809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-consumption|H2 industry demand,1.394007339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-consumption|H2 storage-In,0.003708819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-consumption|H2 underground storage-In,0.011520464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-consumption|Fuel synthesis,9.623994451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-production|Electrolysis,0.009864161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-production|H2 storage-Out,0.002433361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-production|H2 underground storage-Out,0.011520464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Hydrogen-production|Imports,11.11109669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Other demands|Cooking,1.64147986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
