scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 12:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 13:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 14:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 15:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 16:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 17:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 18:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 19:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 20:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 21:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 22:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,GW,typical-day-summer,2050 23:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 06:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 07:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 08:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 09:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 10:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 11:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 12:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 13:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 14:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 15:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 16:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 17:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 18:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 19:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 20:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 21:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 22:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 23:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 06:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 07:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 08:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 09:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 10:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 11:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 12:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 13:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 14:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 15:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 16:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 17:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 18:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 19:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 20:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 21:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 22:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 23:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 00:00,3.152954
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 01:00,3.232675
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 02:00,3.227618
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 03:00,3.180572
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 04:00,3.225674
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 05:00,3.242326
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 06:00,1.83
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 07:00,3.314996
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 08:00,3.314999
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 09:00,3.315
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 10:00,3.315
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 11:00,3.315
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 12:00,3.315
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 13:00,3.315
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 14:00,3.315
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 15:00,3.315
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 16:00,3.314999
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 17:00,2.986962
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 18:00,3.026802
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 19:00,3.184705
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 20:00,3.012728
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 21:00,3.25637
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 22:00,3.278953
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,GW,typical-day-summer,2050 23:00,3.055904
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 06:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 07:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 08:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 09:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 10:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 11:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 12:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 13:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 14:00,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 15:00,0.0
